Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

ADDRESS: If   <| LA |>   had   --   [1155 N LA BREA AVENUE]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Friedman |>      --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: Riding   <| for |>   the   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Nut   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 182
COMPANY: place   <| for |>   you   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: and   <| AIDS |>   Survivor   --   [AIDS RESPONSE-SEACOAST]  {aidsresponse.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: About   <| AIH |>      --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: A2-70   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: 621-1100   <| for |>   location   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: ,   <| American |>   Organization   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| American Indian |>   College   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: prevention   <| for infants , children |>   ,   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: and   <| Southern |>   New   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   &   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: expert   <| legal |>   representation   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: at   <| AIC |>   is   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
COMPANY: of   <| international health |>   and   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: of   <| Indian |>   Education   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
ADDRESS: the   <| streets |>   of   --   [1759 R STREET NW]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Standard   <| Insurance |>   ,   --   [ALABAMA INSURANCE EXCHANGE INCORPORATION]  {aieins.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: of   <| Alabama |>   .   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: a   <| school for |>   deaf   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY:    <| Alabama |>   Alliance   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 11
COMPANY: former   <| Alabama |>   governor   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY:    <| Friedman |>   has   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 4-28X.220   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: and   <| health |>   professional   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| insurance |>   experience   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   HIV   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: l   <| Energy |>   Corp.   --   [AMERICAN INTERNATIONAL ENERGY]  {aienergy.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: our   <| Title |>   Insurance   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: requests   <| for |>   sensory   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: The   <| Legal |>   Beagles   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Aidan |>   At-a-Glance   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
ADDRESS: ’   <| s |>   Hot   --   [6460 S 6TH STREET ROAD]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Support   <| AIDS |>   Response   --   [AIDS RESPONSE-SEACOAST]  {aidsresponse.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: ’   <| s |>   license   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: the   <| LA |>   County   --   [1155 N LA BREA AVENUE]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: responsible   <| for |>   leading   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Airplane   <| Title |>   ,   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| insurance |>   coverage   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Tangless   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: quality   <| health |>   and   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Health |>   .   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Self-Locking   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: /   <| S |>   Cres   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: in   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: '   <| s |>   Office   --   [2801 S UNIVERSITY AVENUE]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 24
COMPANY: become   <| international |>   lab   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Why   <| Montessori |>      --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: the   <| New York |>   City   --   [1212 NEW YORK AVENUE NW # 750]  {aiha.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 3
ADDRESS: '   <| w |>   X   --   [751 W COMMERCIAL DR]  {aihalaska.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Legal |>   Assistance   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: Retainer   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| AIDP |>   markets   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: Non-owners   <| Insurance |>      --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: your   <| insurance |>   needs   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Fit   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: Plastite   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 22
COMPANY: Public   <| Health |>   from   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Washer   <| W |>   /   --   [751 W COMMERCIAL DR]  {aihalaska.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: skull   <| for |>   removal   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Len   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: at   <| AIFS |>   ?   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: here   <| for |>   more   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CONTACT: Paula   <| Chavez |>   wanted   --   [Dan Chavez]  {aicok.net} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY:    <| auto insurance |>   oklahoma   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 3
COMPANY: /   <| AIDS |>   .   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Civil   <| legal |>   aid   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Collar   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Key   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 8
ADDRESS: 5013   <| S. Hermitage Ave |>   .   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
ADDRESS: 0   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Tajima   <| embroidery |>   Machines   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| AIDP |>   News   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 8
ADDRESS: Helicoil   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: ’   <| s |>   vocal   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| for |>   me   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: on   <| auto insurance |>   oklahoma   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: '   <| s |>   Website   --   [6460 S 6TH STREET ROAD]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: public   <| school |>   systems   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CITY: an   <| industry |>   leader   --   [CITY OF INDUSTRY]  {aidp.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Beyond   <| Aidan |>      --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: of   <| AIDS |>   Medicaid   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| Aidan |>   prepares   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: '   <| s |>   headquarters   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: your   <| insurance |>   coverage   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Insert   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 8
COMPANY: ,   <| AIDP |>   specializes   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: commercial   <| construction |>   ,   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Study   <| abroad |>   is   --   [9 W BROAD STREET # 7]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CONTACT: and   <| Jim |>   after   --   [Jim Pace]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   unique   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| AIDS |>   Waiver   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: fight   <| AIDS |>   alone   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: strengthen   <| health |>   system   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: largest   <| AIDS |>   Service   --   [AIDS DELAWARE]  {aidsdelaware.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: /   <| AIDS |>   by   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: in   <| health |>   are   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Sem   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: About   <| AIC |>      --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 4-40   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Flushnut   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   live   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY:    <| AIDS Alliance |>   /   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
COMPANY: when   <| school |>   is   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ``   <| W |>   x   --   [751 W COMMERCIAL DR]  {aihalaska.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: strengthen   <| health |>   systems   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: online   <| for |>   a   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: (   <| AIDS |>   )   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 16   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 44
ADDRESS: /   <| S |>   Handle   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: ai   <| friedman |>   ,   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   and   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: plan   <| for |>   me   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: call   <| for |>   emergencies   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Native   <| America |>   ``   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Blk   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 192
COMPANY: to   <| American Indians |>   through   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
ADDRESS: /   <| S |>   Fin   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Screws   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: cereal   <| box |>   …   --   [PO BOX 698]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: in   <| New York |>   and   --   [1212 NEW YORK AVENUE NW # 750]  {aiha.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: other   <| states |>   suggests   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: studio   <| design |>   ,   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Enroll   <| Alabama |>      --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 22
COMPANY: the   <| school |>   ’   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Alabama |>   Legislature   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS:    <| Street |>   Address   --   [705 SOUTH STREET E]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Pacific   <| Inc. |>   -   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 10
COMPANY: supports   <| Montessori |>   teaching   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Pacific   <| Inc. |>   uses   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Week   <| 8 |>   |   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: in   <| embroidery |>   ,   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| aidells |>   @   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: opportunities   <| for |>   students   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: N   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 32
ADDRESS: Fastener   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: with   <| AIH |>   to   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
CONTACT:    <| Gentry |>   Circle   --   [Marilyn Gentry]  {aicr.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: /   <| S |>   400   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Cad   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 92
COMPANY: ``   <| legal |>   care   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: the   <| New |>   Hampshire   --   [1212 NEW YORK AVENUE NW # 750]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: High   <| School |>   in   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| AIFS |>   is   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY: aviation   <| title |>   &   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Clamp   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: care   <| for |>   women   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: important   <| for |>   you   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: the   <| New York |>   State   --   [1212 NEW YORK AVENUE NW # 750]  {aiha.com} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
ADDRESS: 64   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 12
COMPANY: referrals   <| for |>   healthcare   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| American Indian |>   College   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
COMPANY: in   <| Alabama |>   .   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: s   <| health |>   systems   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: /   <| AIDS |>   Resources   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: as   <| a |>   service   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: for   <| Higher |>   Education   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Health |>   ,   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Recommendations   <| for Cancer |>   Prevention   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 20
COMPANY:    <| AIDS Alliance |>   HRSA   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: Phillips   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   Full   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 10
CONTACT: ,   <| Ray |>   served   --   [Ray Mulch Sr]  {aidantfire.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 25-   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Pacific   <| Inc. |>   in   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| resources |>   of   --   [LIBRARY AND RESOURCE CENTER]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Aidan |>   ’   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: reliable   <| destination |>   management   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Delaware |>   ’   --   [AIDS DELAWARE]  {aidsdelaware.org} REASON:ONLY_ONE_WORD    Occurrence: 1
